"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"649",0,0,1,0,0,0,0,FALSE
"650",0,0,0,0,0,0,0,FALSE
"651",1,0,1,0,1,1,0,FALSE
"652",0,0,0,0,0,0,0,FALSE
"653",0,0,0,1,0,1,1,FALSE
"656",0,0,1,0,0,0,0,FALSE
"657",0,0,1,1,0,1,0,FALSE
"661",0,0,0,0,0,0,0,FALSE
"662",0,0,0,0,0,1,0,FALSE
"663",0,1,1,1,0,1,1,FALSE
"665",0,0,0,0,0,0,0,FALSE
"670",0,0,0,0,0,0,0,FALSE
"671",0,0,1,0,0,0,0,FALSE
"672",0,0,0,0,0,0,0,FALSE
"675",0,0,0,1,0,1,0,FALSE
"676",0,0,0,0,0,0,0,FALSE
"678",1,0,0,0,0,0,0,FALSE
"679",0,0,0,0,0,0,0,FALSE
"680",0,0,1,0,0,1,1,FALSE
"681",0,0,1,1,0,1,1,FALSE
"682",0,0,1,1,0,0,0,FALSE
"683",0,0,0,1,0,0,0,FALSE
"684",0,0,0,0,0,0,0,FALSE
"685",0,0,0,1,0,0,0,FALSE
"686",1,0,1,0,0,0,0,FALSE
"687",0,0,1,0,0,0,0,FALSE
"688",0,0,0,0,0,0,0,FALSE
"689",0,0,0,0,0,0,0,FALSE
"690",0,0,0,0,0,0,0,FALSE
"691",0,0,0,0,0,1,1,FALSE
"692",0,0,0,0,0,0,0,FALSE
"693",1,0,0,1,0,0,0,FALSE
"694",0,0,1,0,0,0,0,FALSE
"695",0,0,0,0,0,0,0,FALSE
"696",0,0,0,0,1,0,0,FALSE
"698",1,1,0,1,0,1,0,FALSE
"700",0,0,0,0,0,0,0,FALSE
"701",0,0,0,0,0,1,1,FALSE
"702",0,0,0,0,0,0,0,FALSE
"703",0,0,0,0,0,0,0,FALSE
"704",0,0,0,0,0,0,0,FALSE
"705",0,0,0,0,0,0,0,FALSE
"706",1,0,0,0,0,0,0,FALSE
"707",0,0,0,0,0,0,0,FALSE
"708",0,0,0,0,0,0,1,FALSE
"709",0,0,0,1,0,1,1,FALSE
"710",0,0,0,0,0,0,1,FALSE
"711",0,0,0,0,0,0,0,FALSE
"712",0,0,0,0,0,0,0,FALSE
"713",0,0,0,0,0,0,0,FALSE
"714",0,0,1,0,0,0,0,FALSE
"715",0,0,0,0,0,0,0,FALSE
"717",0,0,0,0,0,0,0,FALSE
"718",0,0,0,0,0,0,0,FALSE
"719",0,0,0,0,0,0,0,FALSE
"720",0,0,0,0,0,0,0,FALSE
"721",0,0,0,1,0,1,1,FALSE
"722",0,0,0,0,0,1,1,FALSE
"723",0,0,0,0,0,0,0,FALSE
"724",0,0,0,0,0,0,0,FALSE
"725",0,0,0,0,0,0,1,FALSE
"726",0,0,0,0,0,0,0,FALSE
"727",0,0,0,0,0,0,0,FALSE
"728",0,0,0,0,0,0,0,FALSE
"729",0,0,1,0,0,0,0,FALSE
"730",0,0,1,0,0,0,1,FALSE
"731",0,0,0,0,0,0,0,FALSE
"732",0,0,0,0,0,0,0,FALSE
"733",0,0,0,0,0,0,0,FALSE
"734",0,0,0,0,0,0,0,FALSE
"735",1,0,1,0,0,0,0,FALSE
"736",0,0,0,0,0,0,0,FALSE
"737",0,0,1,0,0,0,0,FALSE
"738",0,0,0,0,0,0,0,FALSE
"739",0,0,0,0,0,0,0,FALSE
"740",0,0,0,0,0,0,1,FALSE
"741",0,0,0,0,0,0,0,FALSE
"742",0,0,0,0,0,0,0,FALSE
"743",0,0,1,1,0,1,1,FALSE
"744",0,0,0,0,0,0,0,FALSE
"745",0,0,0,0,0,0,0,FALSE
"747",0,0,1,0,0,0,1,FALSE
"748",0,0,1,0,0,1,1,FALSE
"749",0,0,0,0,0,0,0,FALSE
"750",0,0,0,1,0,1,0,FALSE
"751",0,1,1,0,1,1,1,FALSE
"752",0,0,0,0,0,0,0,FALSE
"753",0,0,1,0,0,1,1,FALSE
"754",0,0,0,0,0,0,0,FALSE
"755",0,0,0,0,0,0,0,FALSE
"756",0,0,0,0,0,0,0,FALSE
"757",0,0,0,0,0,0,0,FALSE
"758",0,0,1,0,0,0,0,FALSE
"759",0,0,0,0,0,0,0,FALSE
"760",0,0,0,1,1,0,1,FALSE
"761",0,0,0,0,0,0,0,FALSE
"762",0,0,0,1,0,0,0,FALSE
"764",0,0,0,0,0,1,1,FALSE
"765",0,0,1,1,0,1,0,FALSE
"766",1,0,0,0,0,0,0,FALSE
"767",0,0,0,0,0,0,0,FALSE
"768",0,0,1,1,0,0,0,FALSE
"770",0,0,0,0,0,1,1,FALSE
"771",0,0,0,0,0,0,0,FALSE
"772",0,0,0,1,0,0,0,FALSE
"773",0,0,1,0,0,0,0,FALSE
"774",0,0,1,0,0,0,0,FALSE
"776",0,0,0,0,0,0,0,FALSE
"778",0,0,0,0,0,0,0,FALSE
"779",0,0,0,0,0,0,0,FALSE
"780",0,0,1,0,0,0,0,FALSE
"781",0,0,0,0,0,0,0,FALSE
"782",0,0,0,0,0,0,0,FALSE
